Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
NHWK,NightHawk Biosciences Inc. Common Stock,$0.377,0.017,4.722%,9832873.00,United States,2022,203999,Health Care,Biotechnology: Pharmaceutical Preparations
NML,Neuberger Berman Energy Infrastructure and Income Fund Inc. Common Stock,$6.80,0.00,0.00%,0.00,,2013,111977,Finance,Finance/Investors Services
NNVC,NanoViricides Inc. Common Stock,$1.09,-0.05,-4.386%,12803140.00,United States,,39417,Health Care,Biotechnology: Pharmaceutical Preparations
NRO,Neuberger Berman Real Estate Securities Income Fund Inc.,$3.23,-0.06,-1.824%,0.00,United States,2003,177739,Finance,Finance/Investors Services
NRXS,Neuraxis Inc. Common Stock,$2.07,-0.24,-10.39%,10949294.00,,2023,14476,,
NSTB,Northern Star Investment Corp. II Class A Common stock,$10.27,0.00,0.00%,123997074.00,,2021,2,Finance,Investment Bankers/Brokers/Service
NTIP,Network-1 Technologies Inc. Common Stock,$2.15,-0.06,-2.715%,50805846.00,United States,,5812,Miscellaneous,Multi-Sector Companies
OBE,Obsidian Energy Ltd. Common Shares,$6.88,-0.07,-1.007%,543822981.00,Canada,2022,356328,Energy,Oil & Gas Production
OGEN,Oragenics Inc. Common Stock,$5.26,-0.17,-3.131%,13514965.00,United States,,11046,Health Care,Biotechnology: Pharmaceutical Preparations
OPTT,Ocean Power Technologies Inc. Common Stock,$0.35,-0.006,-1.685%,20576051.00,United States,2007,210762,Utilities,Electric Utilities: Central
ORLA,Orla Mining Ltd. Common Shares,$3.08,0.04,1.316%,968416680.00,,2020,619313,,
OZ,Belpointe PREP LLC Class A Units,$72.54,0.595,0.827%,266911800.00,,,3209,,
PAPL,Pineapple Financial Inc. Common Stock,$1.78,0.18,11.25%,12783921.00,,2023,272924,Finance,Finance: Consumer Services
PCG^A,Pacific Gas & Electric Co. 6% Preferred Stock,$20.17,0.02,0.099%,,United States,,8935,,
PCG^B,Pacific Gas & Electric Co. 5 1/2% Preferred Stock,$18.44,0.12,0.655%,,United States,,6996,,
PCG^C,Pacific Gas & Electric Co. 5% 1st Preferred Stock,$16.35,0.07,0.43%,,United States,,512,,
PCG^D,Pacific Gas & Electric Co. 5% 1st  Red. Preferred Stock,$16.5934,0.1934,1.179%,,United States,,3563,,
PCG^E,Pacific Gas & Electric Co. 5% 1st A Preferred Stock,$16.632,-0.1163,-0.694%,,United States,,1198,,
PCG^G,Pacific Gas & Electric Co. 4.80% 1st Preferred Stock,$16.00,0.01,0.063%,,United States,,6689,,
PCG^H,Pacific Gas & Electric Co. 4.50% 1st Preferred Stock,$14.57,0.03,0.206%,,United States,,17301,,
PCG^I,Pacific Gas & Electric Co. 4.36% 1st Preferred Stock,$14.35,0.10,0.702%,,United States,,2216,,
PED,Pedevco Corp. Common Stock,$0.782,-0.03,-3.695%,68229709.00,United States,,259331,Energy,Oil & Gas Production
PHGE,BiomX Inc. COmmon Stock,$0.2887,0.0112,4.036%,13274348.00,,2019,31037,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PLAG,Planet Green Holdings Corp. Common Stock,$0.4019,0.0052,1.311%,28969728.00,China,,178561,Consumer Staples,Packaged Foods
PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada),$1.13,-0.005,-0.441%,115685643.00,Canada,,167844,Basic Materials,Precious Metals
PLX,Protalix BioTherapeutics Inc. (DE) Common Stock,$1.72,-0.04,-2.273%,125477653.00,Israel,,424368,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
POL,Polished Inc. Common Stock,$1.22,-0.06,-4.688%,2573403.00,United States,2020,14972,Consumer Discretionary,Home Furnishings
PRK,Park National Corporation Common Stock,$132.99,-2.44,-1.802%,2143330542.00,United States,1994,318964,Finance,Major Banks
PTN,Palatin Technologies Inc. Common Stock,$2.65,0.01,0.379%,36403413.00,United States,1999,131926,Health Care,Biotechnology: Pharmaceutical Preparations
PW,Power REIT (MD) Common Stock,$0.5172,0.0057,1.114%,1753133.00,United States,1998,10225,Real Estate,Real Estate Investment Trusts
PW^A,Power REIT 7.75% Series A Cumulative Perpetual Preferred Stock,$3.0401,-0.1099,-3.489%,,United States,,782,,
PZG,Paramount Gold Nevada Corp. Common Stock,$0.3489,-0.0081,-2.269%,20585098.00,United States,2015,78097,Basic Materials,Metal Mining
QFTA,Quantum FinTech Acquisition Corporation Common Stock,$7.48,-0.02,-0.267%,0.00,,2021,8320,Finance,Blank Checks
RCG,RENN Fund Inc Common Stock,$1.707,0.0105,0.619%,0.00,United States,,2163,Finance,Investment Managers
REI,Ring Energy Inc. Common Stock,$1.45,-0.11,-7.051%,283663936.00,United States,,3605717,Energy,Oil & Gas Production
REPX,Riley Exploration Permian Inc. Common Stock,$26.80,-0.15,-0.557%,547422133.00,United States,1999,110830,Energy,Oil & Gas Production
RHE,Regional Health Properties Inc. Common Stock,$2.07,0.055,2.73%,3897868.00,,2017,3904,Real Estate,Real Estate
RHE^A,Regional Health Properties Inc. 10.875% Series A Cumulative Redeemable Preferred Stock,$0.40,0.00,0.00%,,,,40,,
RLGT,Radiant Logistics Inc. Common Stock,$6.53,0.19,2.997%,306537241.00,United States,,277301,Consumer Discretionary,Oil Refining/Marketing
RVP,Retractable Technologies Inc. Common Stock,$1.14,0.01,0.885%,34128361.00,United States,2001,65406,Health Care,Medical/Dental Instruments
SACC,Sachem Capital Corp. 6.875% Notes due 2024,$24.30,-0.2554,-1.04%,1102161225.00,United States,2019,2120,Real Estate,Real Estate Investment Trusts
SACH,Sachem Capital Corp. Common Shares,$3.80,-0.03,-0.783%,172354430.00,United States,2017,560043,Real Estate,Real Estate Investment Trusts
SACH^A,Sachem Capital Corp. 7.75% Series A Cumulative Redeemable Preferred Stock,$19.9001,-0.2399,-1.191%,,United States,,33249,,
SATX,SatixFy Communications Ltd. Ordinary Share,$0.3546,0.0001,0.028%,28606530200.00,,2022,105519,Technology,Radio And Television Broadcasting And Communications Equipment
SBEV,Splash Beverage Group Inc. (NV) Common Stock,$0.585,-0.015,-2.50%,25633399.00,,2021,163248,Consumer Staples,Beverages (Production/Distribution)
SCCB,Sachem Capital Corp. 7.125% Notes due 2024,$25.20,0.12,0.478%,1142982011.00,United States,2019,2092,Real Estate,Real Estate Investment Trusts
SCCC,Sachem Capital Corp. 7.75% Notes due 2025,$23.85,0.09,0.379%,1081750832.00,United States,2020,7391,Real Estate,Real Estate Investment Trusts
SCCD,Sachem Capital Corp. 6.00% Notes due 2026,$21.35,0.14,0.66%,968359759.00,United States,,8976,Real Estate,Real Estate Investment Trusts
SCCE,Sachem Capital Corp. 6.00% Notes due 2027,$21.28,0.0903,0.426%,965184809.00,United States,2022,17351,Real Estate,Real Estate Investment Trusts
SCCF,Sachem Capital Corp. 7.125% Notes due 2027,$22.00,0.535,2.492%,997841438.00,United States,2022,7060,Real Estate,Real Estate Investment Trusts
SCCG,Sachem Capital Corp. 8.00% Notes due 2027,$22.55,0.1594,0.712%,1022787474.00,United States,2022,6691,Real Estate,Real Estate Investment Trusts
SDPI,Superior Drilling Products Inc. Common Stock,$0.6874,-0.0326,-4.528%,20890938.00,,2014,41886,Industrials,Metal Fabrications
SEB,Seaboard Corporation Common Stock,$3575.60,6.24,0.175%,3472104258.00,United States,1996,10086,Industrials,Farming/Seeds/Milling
SENS,Senseonics Holdings Inc. Common Stock,$0.6988,0.0513,7.923%,369163046.00,United States,,8888414,Industrials,Industrial Machinery/Components
SGE,Strong Global Entertainment Inc. Class A Common Voting Shares,$1.49,-0.17,-10.241%,0.00,,2023,12211,,
SGN,Signing Day Sports Inc. Common Stock,$0.8501,-0.0699,-7.598%,7597898.00,,2023,178430,,
SIF,SIFCO Industries Inc. Common Stock,$4.53,0.10,2.257%,27665380.00,United States,1969,33214,Industrials,Office Equipment/Supplies/Services
SILV,SilverCrest Metals Inc. Common Shares,$6.32,-0.17,-2.619%,930499920.00,Canada,2018,1853566,Industrials,Industrial Machinery/Components
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,$31.80,0.00,0.00%,4898640413.00,Mexico,1998,23,Industrials,Steel/Iron Ore
SKYH,Sky Harbour Group Corporation Class A Common Stock,$11.35,0.61,5.68%,725205594.00,,2022,369885,Industrials,Military/Government/Technical
SLI,Standard Lithium Ltd. Common Shares,$1.98,0.07,3.665%,342247350.00,Canada,2021,1227494,Industrials,Major Chemicals
SLND,Southland Holdings Inc. Common Stock,$4.99,0.03,0.605%,238981000.00,United States,,52000,Industrials,Military/Government/Technical
SNMP,Evolve Transition Infrastructure LP Common Units representing Class B Limited Liability Company Interests,$1.32,-0.04,-2.941%,10165410.00,,,3638,Energy,Oil & Gas Production
SOAR,Volato Group Inc. Class A Common Stock,$4.88,-0.3872,-7.351%,65114318.00,,2022,234275,Finance,Blank Checks
SSY,SunLink Health Systems Inc. Common Stock,$0.892,0.0218,2.505%,6280218.00,United States,1996,36601,Health Care,Hospital/Nursing Management
STRW,Strawberry Fields REIT Inc. Common Stock,$7.94,0.49,6.577%,51050341.00,,2023,28494,Real Estate,Real Estate Investment Trusts
STXS,Stereotaxis Inc. Common Stock,$1.71,-0.05,-2.841%,138312599.00,United States,,287851,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SVM,Silvercorp Metals Inc. Common Shares,$2.76,-0.06,-2.128%,488023170.00,Canada,,1993680,Basic Materials,Precious Metals
SVT,Servotronics Inc. Common Stock,$11.02,-0.40,-3.503%,27508245.00,United States,1970,2282,Consumer Discretionary,Industrial Machinery/Components
TELL,Tellurian Inc. Common Stock,$0.6801,0.0086,1.281%,431756292.00,United States,,77655554,Energy,Oil & Gas Production
TELZ,Tellurian Inc. 8.25% Senior Notes due 2028,$9.10,-0.15,-1.622%,5777065512.00,United States,,11168,Energy,Oil & Gas Production
TGB,Taseko Mines Ltd. Common Stock,$1.38,0.03,2.222%,398443260.00,Canada,,2409155,Basic Materials,Precious Metals
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),$0.5135,0.0135,2.70%,100587220.00,Canada,,46463,,
TMP,Tompkins Financial Corporation Common Stock,$63.28,-0.47,-0.737%,908079201.00,United States,1997,288103,Finance,Major Banks
TMQ,Trilogy Metals Inc. Common Stock,$0.4351,0.0107,2.521%,67825060.00,Canada,,120239,Basic Materials,Precious Metals
TOON,Kartoon Studios Inc. Common Stock,$1.52,0.09,6.294%,53487467.00,United States,,204243,Consumer Discretionary,Movies/Entertainment
TOVX,Theriva Biologics Inc. Common Stock,$0.57,-0.0175,-2.979%,9714376.00,United States,,26285,Health Care,Biotechnology: Pharmaceutical Preparations
TPET,Trio Petroleum Corp. Common Stock,$0.345,0.005,1.471%,10219423.00,,2023,350827,Energy,Oil & Gas Production
TPHS,Trinity Place Holdings Inc. Common Stock,$0.1514,-0.0056,-3.567%,5783387.00,,,95834,Real Estate,Building operators
TRT,Trio-Tech International Common Stock,$4.85,-0.15,-3.00%,19872536.00,United States,1998,9126,Technology,Industrial Machinery/Components
TRX,TRX Gold Corporation Common Stock,$0.4005,0.0005,0.125%,111188939.00,Canada,,152727,Basic Materials,Precious Metals
UAMY,United States Antimony Corporation Common Stock,$0.2342,-0.0088,-3.621%,25211002.00,United States,,217353,Industrials,Metal Fabrications
UAVS,AgEagle Aerial Systems Inc. Common Stock,$0.1113,-0.013,-10.459%,13119914.00,United States,,2603098,Industrials,Aerospace
UEC,Uranium Energy Corp. Common Stock,$6.34,-0.39,-5.795%,2491491450.00,Canada,,14899476,Basic Materials,Other Metals and Minerals
URG,Ur Energy Inc Common Shares (Canada),$1.49,-0.10,-6.289%,396323786.00,Canada,,4731128,Basic Materials,Precious Metals
USAS,Americas Gold and Silver Corporation Common Shares no par value,$0.24,-0.005,-2.041%,52098634.00,Canada,2017,1649972,Basic Materials,Metal Mining
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$26.91,-0.69,-2.50%,0.00,United States,2004,328455,Finance,Investment Managers
UUU,Universal Security Instruments Inc. Common Stock,$1.50,-0.41,-21.466%,3469331.00,United States,2003,717238,Technology,Electronic Components
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$7.25,-0.52,-6.692%,1169076580.00,Canada,,5851757,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
VCXB,10X Capital Venture Acquisition Corp. III Class A Ordinary Shares,$10.74,0.00,0.00%,163346701.00,,2022,6,Finance,Blank Checks
VFL,abrdn National Municipal Income Fund Common Stock,$10.16,0.16,1.60%,0.00,United States,1993,51661,Finance,Finance/Investors Services
VGZ,Vista Gold Corp Common Stock,$0.43,-0.02,-4.444%,52068052.00,United States,1986,335612,,
VHAQ,Viveon Health Acquisition Corp. Common Stock,$11.31,0.01,0.088%,75196401.00,,2021,1852,Health Care,Biotechnology: Pharmaceutical Preparations
VINE,Fresh Vine Wine Inc. Common Stock,$0.765,0.0351,4.809%,12221814.00,,2021,446809,Consumer Staples,Beverages (Production/Distribution)
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$8.47,0.01,0.118%,376118989.00,United States,1993,229866,Finance,Finance Companies
VNRX,VolitionRX Limited Common Stock,$0.7742,0.0892,13.022%,60918603.00,Singapore,2015,493311,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
VTAK,Catheter Precision Inc. Common Stock,$0.48,0.0101,2.149%,2576484.00,,2018,53148,Health Care,Medical/Dental Instruments
VZLA,Vizsla Silver Corp. Common Shares,$1.14,0.00,0.00%,237055954.00,,2022,273214,Basic Materials,Precious Metals
WRAC,Williams Rowland Acquisition Corp. Common Stock,$10.48,0.00,0.00%,0.00,,2021,1,Finance,Blank Checks
WRN,Western Copper and Gold Corporation Common Stock,$1.33,-0.01,-0.746%,216283230.00,Canada,2011,327242,Basic Materials,Metal Mining
WWR,Westwater Resources Inc. Common Stock,$0.6405,-0.0579,-8.29%,35122384.00,United States,,198441,Basic Materials,Other Metals and Minerals
WYY,WidePoint Corporation Common Stock,$1.86,-0.04,-2.105%,16449232.00,United States,,9780,Technology,EDP Services
XPL,Solitario Resources Corp. Common Stock,$0.5468,-0.0124,-2.217%,43244421.00,United States,,193337,Basic Materials,Precious Metals
XTNT,Xtant Medical Holdings Inc. Common Stock,$1.10,-0.06,-5.172%,143121275.00,United States,,116801,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
YCBD,cbdMD Inc. Common Stock,$0.665,-0.013,-1.917%,1898728.00,United States,2017,15777,Health Care,Biotechnology: Pharmaceutical Preparations
YCBD^A,cbdMD Inc. 8.0% Series A Cumulative Convertible Preferred Stock,$0.6999,-0.0491,-6.555%,,United States,,8113,,
ZDGE,Zedge Inc. Class B Common Stock ,$2.23,-0.03,-1.327%,32010698.00,,2016,76755,Technology,Computer Software: Prepackaged Software
ZOM,Zomedica Corp. Common Shares,$0.17,0.005,3.03%,166591444.00,United States,2017,3429436,Health Care,Pharmaceuticals and Biotechnology
